slug,name,color,type,cost,power,health,keywords,influenceTrigger,text,designerNote,effectsJson
crimson-behemoth,Crimson Behemoth,red,unit,5,6,6,,,"When this attacks a base, it deals 2 damage to all adjacent zones.","⚑ Re-ruled after playtest 004: the assault splashes 2 damage onto every OTHER unit in the defended Home zone, both sides (the original ""zones adjacent to the Behemoth"" reading only ever hit Neutral — dead text during a siege).","{""onAttackBase"":[{""op"":""damageFilter"",""f"":{""side"":""all"",""zone"":""sameAsSelf"",""other"":true},""n"":2}]}"
doombringer,Doombringer,red,unit,5,5,4,"rush, breakthrough 3",,Rush. Breakthrough 3.,,{}
relentless-assault,Relentless Assault,red,action,5,,,,,Take an extra combat phase after this one. Overextend 3.,"⚑ Combat is merged into the Main Phase (DECISIONS 8), so ""extra combat phase"" = ready all your units; they may attack again. ⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""onPlay"":[{""op"":""ready"",""side"":""friendly""}]}"
scorching-howl,Scorching Howl,red,action,5,,,,,Deal 3 damage to all units. Overextend 3.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""onPlay"":[{""op"":""damageFilter"",""f"":{""side"":""all""},""n"":3}]}"
cataclysmic-charge,Cataclysmic Charge,red,action,6,,,,,Target unit gains Rush and +3 Power this turn. Overextend 4.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""grant"",""t"":""chosen0"",""kw"":{""k"":""rush""},""dur"":""turn""},{""op"":""buff"",""t"":""chosen0"",""p"":3,""dur"":""turn""}]}"
earthshaker,Earthshaker,red,unit,6,6,5,"breakthrough 3, overextend 3",,Breakthrough 3. Overextend 3.,,{}
execution-swing,Execution Swing,red,action,6,,,,,Destroy target damaged unit. Overextend 3.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""any"",""mustBeDamaged"":true}],""onPlay"":[{""op"":""destroy"",""t"":""chosen0""}]}"
raging-inferno,Raging Inferno,red,action,6,,,,,Deal 5 damage to target unit or base. Overextend 4.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unitOrBase"",""side"":""any"",""baseSide"":""enemy""}],""onPlay"":[{""op"":""damage"",""t"":""chosen0"",""n"":5}]}"
warlord-garok,Warlord Garok,red,unit,6,5,5,rush,,Rush. Your other units have +1 Power.,,"{""statics"":[{""s"":""aura"",""scope"":""otherFriendly"",""p"":1}]}"
apocalypse-engine,Apocalypse Engine,red,unit,7,7,7,"breakthrough 4, overextend 4",,Breakthrough 4. Overextend 4.,,{}
burn-the-frontline,Burn the Frontline,red,action,7,,,,,Deal 4 damage to all units in one zone. Overextend 4.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""zone""}],""onPlay"":[{""op"":""damageFilter"",""f"":{""side"":""all"",""zone"":""chosenZone""},""n"":4}]}"
last-stand,Last Stand,red,action,7,,,,,Your units gain +2 Power this turn. You lose 2 life.,,"{""onPlay"":[{""op"":""buff"",""t"":{""side"":""friendly""},""p"":2,""dur"":""turn""},{""op"":""damage"",""t"":""selfBase"",""n"":2}]}"
unchained-rage,Unchained Rage,red,action,7,,,,,Double a unit's Power this turn. Overextend 4.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""any""}],""onPlay"":[{""op"":""double"",""t"":""chosen0""}]}"
final-onslaught,Final Onslaught,red,action,8,,,,,You get an extra turn after this one. Overextend 5.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""onPlay"":[{""op"":""extraTurn""}]}"
worldrender,Worldrender,red,unit,8,8,8,"breakthrough 5, overextend 5",,Breakthrough 5. Overextend 5.,,{}
oath-of-order,Oath of Order,yellow,upgrade,1,,,,,Attach to unit. This unit gets +1 Power and Guard.,,"{""statics"":[{""s"":""aura"",""scope"":""attached"",""p"":1},{""s"":""aura"",""scope"":""attached"",""kw"":{""k"":""guard""}}]}"
prison-warrant,Prison Warrant,yellow,action,1,,,,onPlay,Imprison target enemy unit in this zone. Influence: +1.,"⚑ ""In this zone"" is meaningless for a card played from hand — implemented as any enemy unit. Needs design.","{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""},{""op"":""influence"",""n"":1}]}"
radiant-aegis,Radiant Aegis,yellow,action,1,,,,onPlay,Give target unit Armor 2. Influence: +1.,,"{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""buff"",""t"":""chosen0"",""armor"":2,""dur"":""perm""},{""op"":""influence"",""n"":1}]}"
vanguard-sentinel,Vanguard Sentinel,yellow,unit,1,1,2,guard,onDefend,"Guard. When this defends, gain 1 Influence.","Decision 34: influence is earned by events, never by existing — this unit pays out when it defends (is attacked).","{""onDefend"":[{""op"":""influence"",""n"":1}]}"
binding-light,Binding Light,yellow,action,2,,,,onPlay,"Imprison target unit. If your Influence is 10+, it can't attack players. Influence: +1.",⚑ The 10+ rider is redundant while imprisoned (prisoners cannot attack at all) — dropped pending design.,"{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""},{""op"":""influence"",""n"":1}]}"
containment-priest,Containment Priest,yellow,unit,2,2,3,,,"When this enters a zone, imprison target enemy unit in that zone.",⚑ Imprison target is auto-picked: strongest eligible enemy unit (deterministic; DECISIONS/spec §3.3). Fires on deploy and on every move.,"{""onEnterZone"":[{""op"":""imprison"",""t"":""auto"",""auto"":{""scope"":""enteredZone""}}]}"
hold-the-line,Hold the Line,yellow,action,2,,,,onPlay,Give all friendly units in this zone Guard. Influence: +1.,"⚑ ""This zone"" read as ""choose a zone"".","{""targets"":[{""t"":""zone""}],""onPlay"":[{""op"":""grant"",""t"":{""side"":""friendly"",""zone"":""chosenZone""},""kw"":{""k"":""guard""},""dur"":""perm""},{""op"":""influence"",""n"":1}]}"
iron-discipline,Iron Discipline,yellow,upgrade,2,,,,onPlay,Attach to unit. This unit gets Armor 1. Influence: +1.,,"{""statics"":[{""s"":""aura"",""scope"":""attached"",""armor"":1}],""onPlay"":[{""op"":""influence"",""n"":1}]}"
sunguard-defender,Sunguard Defender,yellow,unit,2,2,3,guard,onDefend,"Guard. When this defends, gain 1 Influence.","Decision 34: influence is earned by events, never by existing — this unit pays out when it defends (is attacked).","{""onDefend"":[{""op"":""influence"",""n"":1}]}"
bulwark-protector,Bulwark Protector,yellow,unit,3,2,5,guard,onDefend,"Guard. When this defends, gain 1 Influence.","Decision 34: influence is earned by events, never by existing — this unit pays out when it defends (is attacked).","{""onDefend"":[{""op"":""influence"",""n"":1}]}"
chain-of-law,Chain of Law,yellow,upgrade,3,,,,onPlay,Attach to unit. This unit can't be the target of enemy actions. Influence: +1.,,"{""statics"":[{""s"":""aura"",""scope"":""attached"",""kw"":{""k"":""untargetable""}}],""onPlay"":[{""op"":""influence"",""n"":1}]}"
justicar-enforcer,Justicar Enforcer,yellow,unit,3,3,4,guard,onDefend,"Guard. When this defends, gain 2 Influence.","Decision 34: influence is earned by events, never by existing — this unit pays out when it defends (is attacked).","{""onDefend"":[{""op"":""influence"",""n"":2}]}"
noble-purifier,Noble Purifier,yellow,unit,3,3,3,,,"When this attacks, you may imprison a unit in the defending zone.","⚑ Imprison target is auto-picked: strongest eligible enemy unit (deterministic; DECISIONS/spec §3.3). The ""may"" auto-applies (strictly beneficial; DECISIONS 24).","{""onAttack"":[{""op"":""imprison"",""t"":""auto"",""auto"":{""scope"":""targetZone""}}]}"
sanctified-bastion,Sanctified Bastion,yellow,unit,3,0,6,cantAttack,,This can't attack. Your other units have Armor 1.,,"{""statics"":[{""s"":""aura"",""scope"":""otherFriendly"",""armor"":1}]}"
subjugate,Subjugate,yellow,action,3,,,,onPlay,"Imprison target unit. If your Influence is 5 or less, it gets -1 Power. Influence: +1.",,"{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""},{""op"":""buff"",""t"":""chosen0"",""p"":-1,""dur"":""perm"",""cond"":{""influenceAtMost"":5}},{""op"":""influence"",""n"":1}]}"
unwavering-faith,Unwavering Faith,yellow,action,3,,,,onPlay,Heal 3 damage from a unit or your base. Influence: +1.,,"{""targets"":[{""t"":""unitOrBase"",""side"":""any"",""baseSide"":""any""}],""onPlay"":[{""op"":""heal"",""t"":""chosen0"",""n"":3},{""op"":""influence"",""n"":1}]}"
disciplined-mind,Disciplined Mind,yellow,upgrade,4,,,,,Attach to unit. This unit gets +1 Armor. Draw a card.,,"{""statics"":[{""s"":""aura"",""scope"":""attached"",""armor"":1}],""onPlay"":[{""op"":""draw"",""n"":1}]}"
exemplar-knight,Exemplar Knight,yellow,unit,4,4,4,,onKill,"When this attacks, give it +2 Power this turn. When it defeats a unit, gain 1 Influence.","Decision 34: influence is earned by events, never by existing — this unit pays out when it defends (is attacked).","{""onAttack"":[{""op"":""buff"",""t"":""self"",""p"":2,""dur"":""turn""}],""onKill"":[{""op"":""influence"",""n"":1}]}"
fortress-keeper,Fortress Keeper,yellow,unit,4,1,7,cantAttack,,This can't attack. Other friendly units in this zone have Guard.,,"{""statics"":[{""s"":""aura"",""scope"":""friendlyInZone"",""kw"":{""k"":""guard""}}]}"
high-justiciar,High Justiciar,yellow,unit,4,3,5,,,"At the start of your turn, imprison target enemy unit in another zone.","⚑ Imprison target is auto-picked: strongest eligible enemy unit (deterministic; DECISIONS/spec §3.3). ""Another zone"" = any zone other than the Justiciar's.","{""startOfTurn"":{""ops"":[{""op"":""imprison"",""t"":""auto"",""auto"":{""scope"":""otherZone""}}]}}"
lawbringer,Lawbringer,yellow,unit,4,4,4,,,"When this enters a zone, imprison target unit.",⚑ Imprison target is auto-picked: strongest eligible enemy unit (deterministic; DECISIONS/spec §3.3). Fires on deploy and on every move.,"{""onEnterZone"":[{""op"":""imprison"",""t"":""auto"",""auto"":{""scope"":""enteredZone""}}]}"
mobilize-the-faithful,Mobilize the Faithful,yellow,action,4,,,,onPlay,Give all friendly units +1 Power and Guard. Influence: +1.,,"{""onPlay"":[{""op"":""buff"",""t"":{""side"":""friendly""},""p"":1,""dur"":""perm""},{""op"":""grant"",""t"":{""side"":""friendly""},""kw"":{""k"":""guard""},""dur"":""perm""},{""op"":""influence"",""n"":1}]}"
radiant-wall,Radiant Wall,yellow,action,4,,,,onPlay,Give target unit Armor 3. Influence: +1.,,"{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""buff"",""t"":""chosen0"",""armor"":3,""dur"":""perm""},{""op"":""influence"",""n"":1}]}"
sentence,Sentence,yellow,action,4,,,,onPlay,"Imprison target unit. If your Influence is 10+, it can't move or attack. Influence: +1.",⚑ The 10+ rider duplicates what imprisonment already does — dropped pending design.,"{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""},{""op"":""influence"",""n"":1}]}"
aura-of-resolve,Aura of Resolve,yellow,upgrade,5,,,,startOfTurn,"Attach to unit. At the start of your turn, gain 1 Influence.",,"{""startOfTurn"":{""ops"":[{""op"":""influence"",""n"":1}]}}"
censer-of-purity,Censer of Purity,yellow,unit,5,3,6,,startOfTurn,"At the start of your turn, lose 1 Influence. If you do, heal 2 damage from your base.",,"{""startOfTurn"":{""ops"":[{""op"":""influence"",""n"":-1},{""op"":""heal"",""t"":""selfBase"",""n"":2}]}}"
custodian-of-law,Custodian of Law,yellow,unit,5,4,6,guard,onDefend,"Guard. When this defends, gain 2 Influence.","Decision 34: influence is earned by events, never by existing — this unit pays out when it defends (is attacked).","{""onDefend"":[{""op"":""influence"",""n"":2}]}"
dawnspear-paladin,Dawnspear Paladin,yellow,unit,5,5,5,,onAttack,"When this attacks, you may gain 1 Influence.","⚑ The ""may"" auto-applies (DECISIONS 24).","{""onAttack"":[{""op"":""influence"",""n"":1}]}"
disarming-order,Disarming Order,yellow,action,5,,,,,Target unit can't attack this turn. Draw a card.,,"{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""grant"",""t"":""chosen0"",""kw"":{""k"":""cantAttack""},""dur"":""turn""},{""op"":""draw"",""n"":1}]}"
imprisonment-chamber,Imprisonment Chamber,yellow,action,5,,,,,"Imprison target unit. At the start of your turn, lose 1 Influence.","⚑ The printed ""at the start of your turn, lose 1 Influence"" is the global Prison Decay rule (v1.2) — not charged twice.","{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""}]}"
radiant-judgment,Radiant Judgment,yellow,action,5,,,,onPlay,Imprison all enemy units with 3 Power or less. Influence: +2.,,"{""onPlay"":[{""op"":""imprison"",""t"":""auto"",""f"":{""side"":""enemy"",""maxPower"":3}},{""op"":""influence"",""n"":2}]}"
unshakable-wall,Unshakable Wall,yellow,upgrade,5,,,,,Attach to unit. This unit gets +2 Armor and Guard.,,"{""statics"":[{""s"":""aura"",""scope"":""attached"",""armor"":2},{""s"":""aura"",""scope"":""attached"",""kw"":{""k"":""guard""}}]}"
detain,Detain,yellow,action,6,,,,onPlay,Imprison target enemy unit. You gain 1 Influence.,,"{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""},{""op"":""influence"",""n"":1}]}"
devout-intervention,Devout Intervention,yellow,action,6,,,,onPlay,Reduce damage to your base by 3 this turn. Gain 1 Influence.,,"{""onPlay"":[{""op"":""preventBase"",""n"":3},{""op"":""influence"",""n"":1}]}"
gateward-colossus,Gateward Colossus,yellow,unit,6,3,9,cantAttack,,"This can't attack. Whenever a unit is imprisoned, gain 1 Influence.",,"{""statics"":[{""s"":""imprisonWatcher"",""n"":1}]}"
hierophant,Hierophant,yellow,unit,6,2,6,,,Other friendly units get +1 Power while your Influence is 10 or more.,,"{""statics"":[{""s"":""aura"",""scope"":""otherFriendly"",""p"":1,""cond"":{""influenceAtLeast"":10}}]}"
inquisitor,Inquisitor,yellow,unit,6,4,5,,,"When this enters a zone, imprison target unit with 4 Power or less.",⚑ Imprison target is auto-picked: strongest eligible enemy unit (deterministic; DECISIONS/spec §3.3). Fires on deploy and on every move.,"{""onEnterZone"":[{""op"":""imprison"",""t"":""auto"",""auto"":{""scope"":""enteredZone"",""maxPower"":4}}]}"
light-of-authority,Light of Authority,yellow,action,6,,,,onPlay,Give target unit +3 Power until end of turn. Influence: +1.,,"{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""buff"",""t"":""chosen0"",""p"":3,""dur"":""turn""},{""op"":""influence"",""n"":1}]}"
resolve-banner,Resolve Banner,yellow,upgrade,6,,,,,Attach to unit. Other friendly units in this zone get +1 Power.,"⚑ Buffs friendly units sharing the carrier's zone, excluding the carrier.","{""statics"":[{""s"":""aura"",""scope"":""friendlyInZone"",""p"":1}]}"
sanctify,Sanctify,yellow,action,6,,,,onPlay,Heal 4 damage from your base. Gain 2 Influence.,,"{""onPlay"":[{""op"":""heal"",""t"":""selfBase"",""n"":4},{""op"":""influence"",""n"":2}]}"
absolution,Absolution,yellow,action,7,,,,onPlay,Remove all negative effects from target unit. Gain 2 Influence.,,"{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""removeNegative"",""t"":""chosen0""},{""op"":""influence"",""n"":2}]}"
archon-of-order,Archon of Order,yellow,unit,7,7,7,,,"At the start of your turn, imprison up to one unit in each enemy zone.","⚑ Imprison target is auto-picked: strongest eligible enemy unit (deterministic; DECISIONS/spec §3.3). ""Each enemy zone"" = each zone holding enemy units.","{""startOfTurn"":{""ops"":[{""op"":""imprison"",""t"":""auto"",""auto"":{""scope"":""eachZone""}}]}}"
champion-of-the-faith,Champion of the Faith,yellow,unit,7,6,6,,onAttack,"When this attacks, your opponent loses 1 Influence.","⚑ Influence is one shared track: ""opponent loses 1"" = you gain 1 (DECISIONS 15).","{""onAttack"":[{""op"":""influence"",""n"":1}]}"
command-edict,Command Edict,yellow,action,7,,,,onPlay,Give all friendly units +2 Armor this turn. Influence: +2.,,"{""onPlay"":[{""op"":""buff"",""t"":{""side"":""friendly""},""armor"":2,""dur"":""turn""},{""op"":""influence"",""n"":2}]}"
prison-of-light,Prison of Light,yellow,action,7,,,,,"Imprison target unit. At the start of your turn, lose 1 Influence.","⚑ The printed ""at the start of your turn, lose 1 Influence"" is the global Prison Decay rule (v1.2) — not charged twice.","{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""}]}"
radiant-citadel,Radiant Citadel,yellow,unit,7,0,8,cantAttack,,This can't attack. Your maximum Influence is increased by 2.,"⚑ ""Maximum Influence +2"" has no meaning on a ±15 shared track — reinterpreted as: your opponent needs 17 to win on Influence while this is in play. Needs design.","{""statics"":[{""s"":""oppThreshold"",""n"":2}]}"
supreme-sentence,Supreme Sentence,yellow,action,7,,,,,"Imprison target unit. If your Influence is 15 or more, imprison another.",⚑ The 15+ clause can never fire while 15 IS the win threshold — inert as printed. Needs design.,"{""targets"":[{""t"":""unit"",""side"":""enemy""}],""onPlay"":[{""op"":""imprison"",""t"":""chosen0""}]}"
light-s-vanguard,Light's Vanguard,yellow,unit,8,6,8,"flying, guard",onDefend,"Flying, Guard. When this defends, gain 2 Influence.","⚑ Flying is undefined in rules v1.2 — implemented as ""may move to any zone, ignoring adjacency"". Needs design.","{""onDefend"":[{""op"":""influence"",""n"":2}]}"
